series,timestamp,value,label
Set,2022-08-01T03:05:00.000Z,905.029166666667,1
Rise,2022-08-01T19:25:00.000Z,445.029166666667,1
Set,2022-08-02T02:55:00.000Z,895.029166666667,1
Rise,2022-08-02T19:30:00.000Z,450.029166666667,1
Set,2022-08-03T02:55:00.000Z,895.029166666667,1
Rise,2022-08-03T19:25:00.000Z,445.029166666667,1
Set,2022-08-04T02:55:00.000Z,895.029166666667,1
Rise,2022-08-04T18:50:00.000Z,410.029166666667,1
Set,2022-08-05T03:05:00.000Z,905.029166666667,1
Rise,2022-08-05T19:20:00.000Z,440.029166666667,1
Set,2022-09-01T03:45:00.000Z,945.029166666667,7
Rise,2022-09-01T17:15:00.000Z,315.029166666667,7
Set,2022-09-02T03:50:00.000Z,950.029166666667,7
Rise,2022-09-02T17:25:00.000Z,325.029166666667,7
Set,2022-09-03T03:50:00.000Z,950.029166666667,7
Rise,2022-09-03T17:35:00.000Z,335.029166666667,7
Set,2022-09-04T03:45:00.000Z,945.029166666667,7
Rise,2022-09-04T17:25:00.000Z,325.029166666667,7
Set,2022-09-05T03:35:00.000Z,935.029166666667,7
Rise,2022-09-05T17:30:00.000Z,330.029166666667,7
Set,2022-09-06T03:45:00.000Z,945.029166666667,7
Rise,2022-09-06T22:10:00.000Z,610.029166666667,discard
Set,2022-09-06T22:15:00.000Z,615.029166666667,discard
Rise,2022-09-07T22:10:00.000Z,610.029166666667,discard
Set,2022-09-07T22:15:00.000Z,615.029166666667,discard
Rise,2022-09-08T17:25:00.000Z,325.029166666667,7
Set,2022-09-09T03:50:00.000Z,950.029166666667,7
Rise,2022-09-09T17:25:00.000Z,325.029166666667,7
Set,2022-09-10T03:50:00.000Z,950.029166666667,7
Rise,2022-09-10T17:10:00.000Z,310.029166666667,7
Set,2022-10-01T03:15:00.000Z,915.029166666667,16
Rise,2022-10-01T15:40:00.000Z,220.029166666667,16
Set,2022-10-02T03:10:00.000Z,910.029166666667,16
Rise,2022-10-02T15:45:00.000Z,225.029166666667,16
Set,2022-10-03T03:15:00.000Z,915.029166666667,16
Rise,2022-10-03T15:15:00.000Z,195.029166666667,discard
Set,2022-10-04T03:25:00.000Z,925.029166666667,16
Rise,2022-10-04T15:35:00.000Z,215.029166666667,16
Set,2022-10-05T03:25:00.000Z,925.029166666667,16
Rise,2022-10-05T15:35:00.000Z,215.029166666667,16
Set,2022-10-06T03:25:00.000Z,925.029166666667,16
Rise,2022-10-06T15:40:00.000Z,220.029166666667,16
Set,2022-10-07T03:15:00.000Z,915.029166666667,16
Rise,2022-10-07T15:30:00.000Z,210.029166666667,16
Set,2022-10-08T03:25:00.000Z,925.029166666667,16
Rise,2022-10-08T15:30:00.000Z,210.029166666667,16
Set,2022-10-09T03:35:00.000Z,935.029166666667,discard
Rise,2022-10-09T15:40:00.000Z,220.029166666667,16
Set,2022-10-10T03:15:00.000Z,915.029166666667,16
Rise,2022-10-10T15:35:00.000Z,215.029166666667,16
Set,2023-01-01T03:10:00.000Z,910.029166666667,25
Rise,2023-01-01T16:45:00.000Z,285.029166666667,25
Set,2023-01-02T03:10:00.000Z,910.029166666667,25
Rise,2023-01-02T16:40:00.000Z,280.029166666667,25
Set,2023-01-03T03:15:00.000Z,915.029166666667,25
Rise,2023-01-03T16:45:00.000Z,285.029166666667,25
Set,2023-01-04T03:20:00.000Z,920.029166666667,25
Rise,2023-01-04T16:40:00.000Z,280.029166666667,25
Set,2023-01-05T03:15:00.000Z,915.029166666667,25
Rise,2023-01-05T16:40:00.000Z,280.029166666667,25
Set,2023-01-06T03:15:00.000Z,915.029166666667,25
Rise,2023-01-06T16:35:00.000Z,275.029166666667,25
Set,2023-01-07T03:25:00.000Z,925.029166666667,25
Rise,2023-01-07T16:45:00.000Z,285.029166666667,25
Set,2023-01-08T03:25:00.000Z,925.029166666667,25
Rise,2023-01-08T16:40:00.000Z,280.029166666667,25
Set,2023-01-09T03:25:00.000Z,925.029166666667,25
Rise,2023-01-09T16:45:00.000Z,285.029166666667,25
Set,2023-01-10T03:20:00.000Z,920.029166666667,25
Rise,2023-01-10T16:45:00.000Z,285.029166666667,25
Set,2023-04-01T03:00:00.000Z,900.029166666667,30
Rise,2023-04-01T15:40:00.000Z,220.029166666667,30
Set,2023-04-02T03:00:00.000Z,900.029166666667,30
Rise,2023-04-02T15:45:00.000Z,225.029166666667,30
Set,2023-04-03T03:00:00.000Z,900.029166666667,30
Rise,2023-04-03T15:40:00.000Z,220.029166666667,30
Set,2023-04-04T03:10:00.000Z,910.029166666667,discard
Rise,2023-04-04T15:40:00.000Z,220.029166666667,30
Set,2023-04-05T02:50:00.000Z,890.029166666667,30-5
Rise,2023-04-05T15:35:00.000Z,215.029166666667,31
Set,2023-04-06T02:45:00.000Z,885.029166666667,32
Rise,2023-04-06T15:30:00.000Z,210.029166666667,32
Set,2023-04-07T02:45:00.000Z,885.029166666667,33
Rise,2023-04-07T15:40:00.000Z,220.029166666667,33
Set,2023-04-08T02:50:00.000Z,890.029166666667,33
Rise,2023-04-08T15:40:00.000Z,220.029166666667,33
Set,2023-04-09T02:45:00.000Z,885.029166666667,33
Rise,2023-04-09T15:35:00.000Z,215.029166666667,33
Set,2023-04-10T02:45:00.000Z,885.029166666667,34
Rise,2023-04-10T15:30:00.000Z,210.029166666667,34
