series,timestamp,value,label
Set,2022-08-01T02:55:00.000Z,895.0375,1
Rise,2022-08-01T19:35:00.000Z,455.0375,1
Set,2022-08-02T02:55:00.000Z,895.0375,1
Rise,2022-08-02T19:30:00.000Z,450.0375,1
Set,2022-08-03T02:55:00.000Z,895.0375,1
Rise,2022-08-03T19:40:00.000Z,460.0375,1
Set,2022-08-04T02:55:00.000Z,895.0375,1
Rise,2022-08-04T19:10:00.000Z,430.0375,1
Set,2022-08-05T03:05:00.000Z,905.0375,1
Rise,2022-08-05T19:25:00.000Z,445.0375,1
Set,2022-09-01T03:20:00.000Z,920.0375,7
Rise,2022-09-01T17:35:00.000Z,335.0375,7
Set,2022-09-02T03:25:00.000Z,925.0375,7
Rise,2022-09-02T17:30:00.000Z,330.0375,7
Set,2022-09-03T03:30:00.000Z,930.0375,7
Rise,2022-09-03T17:30:00.000Z,330.0375,7
Set,2022-09-04T03:25:00.000Z,925.0375,7
Rise,2022-09-04T17:25:00.000Z,325.0375,7
Set,2022-09-05T03:25:00.000Z,925.0375,7
Rise,2022-09-05T17:25:00.000Z,325.0375,7
Set,2022-09-06T03:40:00.000Z,940.0375,7
Rise,2022-09-06T17:25:00.000Z,325.0375,7
Set,2022-09-07T03:25:00.000Z,925.0375,7
Rise,2022-09-07T17:25:00.000Z,325.0375,7
Set,2022-09-08T03:30:00.000Z,930.0375,7
Rise,2022-09-08T17:15:00.000Z,315.0375,7
Set,2022-09-09T03:40:00.000Z,940.0375,7
Rise,2022-09-09T17:20:00.000Z,320.0375,7
Set,2022-09-10T03:45:00.000Z,945.0375,7
Rise,2022-09-10T17:15:00.000Z,315.0375,7
Set,2022-10-01T03:20:00.000Z,920.0375,15
Rise,2022-10-01T15:55:00.000Z,235.0375,15
Set,2022-10-02T03:15:00.000Z,915.0375,15
Rise,2022-10-02T15:55:00.000Z,235.0375,15
Set,2022-10-03T03:25:00.000Z,925.0375,15
Rise,2022-10-03T15:45:00.000Z,225.0375,15
Set,2022-10-04T03:20:00.000Z,920.0375,15
Rise,2022-10-04T15:50:00.000Z,230.0375,15
Set,2022-10-05T03:20:00.000Z,920.0375,15
Rise,2022-10-05T15:50:00.000Z,230.0375,15
Set,2022-10-06T03:20:00.000Z,920.0375,15
Rise,2022-10-06T15:50:00.000Z,230.0375,15
Set,2022-10-07T03:20:00.000Z,920.0375,15
Rise,2022-10-07T15:55:00.000Z,235.0375,15
Set,2022-10-08T03:25:00.000Z,925.0375,15
Rise,2022-10-08T15:45:00.000Z,225.0375,15
Set,2022-10-09T03:25:00.000Z,925.0375,15
Rise,2022-10-09T15:45:00.000Z,225.0375,15
Set,2022-10-10T03:20:00.000Z,920.0375,15
Rise,2022-10-10T15:45:00.000Z,225.0375,15
Set,2023-01-01T02:50:00.000Z,890.0375,27
Rise,2023-01-01T16:35:00.000Z,275.0375,27
Set,2023-01-02T03:00:00.000Z,900.0375,27
Rise,2023-01-02T16:45:00.000Z,285.0375,27
Set,2023-01-03T02:45:00.000Z,885.0375,27
Rise,2023-01-03T16:35:00.000Z,275.0375,27
Set,2023-01-04T02:50:00.000Z,890.0375,27
Rise,2023-01-04T16:35:00.000Z,275.0375,27
Set,2023-01-05T02:45:00.000Z,885.0375,27
Rise,2023-01-05T16:35:00.000Z,275.0375,27
Set,2023-01-06T02:55:00.000Z,895.0375,27
Rise,2023-01-06T16:35:00.000Z,275.0375,27
Set,2023-01-07T03:00:00.000Z,900.0375,27
Rise,2023-01-07T16:30:00.000Z,270.0375,27
Set,2023-01-08T03:05:00.000Z,905.0375,27
Rise,2023-01-08T16:40:00.000Z,280.0375,27
Set,2023-01-09T02:55:00.000Z,895.0375,27
Rise,2023-01-09T16:50:00.000Z,290.0375,27
Set,2023-01-10T02:45:00.000Z,885.0375,27
Rise,2023-01-10T16:45:00.000Z,285.0375,27
Set,2023-04-01T02:55:00.000Z,895.0375,33
Rise,2023-04-01T15:40:00.000Z,220.0375,33
Set,2023-04-02T02:55:00.000Z,895.0375,33
Rise,2023-04-02T15:35:00.000Z,215.0375,33
Set,2023-04-03T02:55:00.000Z,895.0375,33
Rise,2023-04-03T15:40:00.000Z,220.0375,33
Set,2023-04-04T02:55:00.000Z,895.0375,33
Rise,2023-04-04T15:35:00.000Z,215.0375,33
Set,2023-04-05T02:55:00.000Z,895.0375,33
Rise,2023-04-05T15:35:00.000Z,215.0375,33
Set,2023-04-06T02:50:00.000Z,890.0375,34
Rise,2023-04-06T15:35:00.000Z,215.0375,34
Set,2023-04-07T02:45:00.000Z,885.0375,35
Rise,2023-04-07T15:25:00.000Z,205.0375,35
Set,2023-04-08T02:45:00.000Z,885.0375,36
Rise,2023-04-08T15:35:00.000Z,215.0375,36
Set,2023-04-09T02:40:00.000Z,880.0375,37
Rise,2023-04-09T15:30:00.000Z,210.0375,37
Set,2023-04-10T02:40:00.000Z,880.0375,37
Rise,2023-04-10T15:35:00.000Z,215.0375,37
Set,2023-06-01T01:55:00.000Z,835.0375,53
Rise,2023-06-01T20:10:00.000Z,490.0375,53
