"series","timestamp","value","label"
"Rise","2023-08-01T03:10:00Z",190,"1"
"Set","2023-08-01T19:15:00Z",1155,"1"
"Rise","2023-08-02T03:15:00Z",195,"1"
"Set","2023-08-02T19:00:00Z",1140,"1"
"Rise","2023-08-03T03:05:00Z",185,"1"
"Set","2023-08-03T19:30:00Z",1170,"1"
"Rise","2023-08-04T03:05:00Z",185,"1"
"Set","2023-08-04T19:15:00Z",1155,"1"
"Rise","2023-08-05T03:05:00Z",185,"1"
"Set","2023-08-05T19:30:00Z",1170,"1"
"Rise","2023-09-01T04:05:00Z",245,"4"
"Set","2023-09-01T17:40:00Z",1060,"4"
"Rise","2023-09-02T04:05:00Z",245,"4"
"Set","2023-09-02T17:40:00Z",1060,"4"
"Rise","2023-09-03T04:10:00Z",250,"4"
"Set","2023-09-03T17:40:00Z",1060,"4"
"Rise","2023-09-04T04:05:00Z",245,"4"
"Set","2023-09-04T17:40:00Z",1060,"4"
"Rise","2023-09-05T04:00:00Z",240,"4-5"
"Set","2023-09-05T17:40:00Z",1060,"5"
"Rise","2023-09-06T04:00:00Z",240,"5"
"Set","2023-09-06T17:30:00Z",1050,"5"
"Rise","2023-09-07T03:55:00Z",235,"5"
"Set","2023-09-07T17:30:00Z",1050,"5"
"Rise","2023-09-08T03:55:00Z",235,"5"
"Set","2023-09-08T17:30:00Z",1050,"5"
"Rise","2023-09-09T04:00:00Z",240,"5"
"Set","2023-09-09T17:30:00Z",1050,"5"
"Rise","2023-09-10T04:10:00Z",250,"5"
"Set","2023-09-10T17:30:00Z",1050,"5"
"Rise","2023-10-01T03:45:00Z",225,"14"
"Set","2023-10-01T16:15:00Z",975,"14"
"Rise","2023-10-02T03:50:00Z",230,"14"
"Set","2023-10-02T16:10:00Z",970,"14"
"Rise","2023-10-03T03:45:00Z",225,"14"
"Set","2023-10-03T16:05:00Z",965,"14"
"Rise","2023-10-04T03:45:00Z",225,"14"
"Set","2023-10-04T16:10:00Z",970,"14"
"Rise","2023-10-05T03:45:00Z",225,"14"
"Set","2023-10-05T15:55:00Z",955,"14"
"Rise","2023-10-06T03:45:00Z",225,"14"
"Set","2023-10-06T15:55:00Z",955,"14"
"Rise","2023-10-07T03:40:00Z",220,"14"
"Set","2023-10-07T16:05:00Z",965,"14"
"Rise","2023-10-08T03:50:00Z",230,"14"
"Set","2023-10-08T16:05:00Z",965,"14"
"Rise","2023-10-09T03:55:00Z",235,"14"
"Set","2023-10-09T16:00:00Z",960,"14"
"Rise","2023-10-10T03:50:00Z",230,"14"
"Set","2023-10-10T16:05:00Z",965,"14"
"Rise","2024-01-01T03:35:00Z",215,"29"
"Set","2024-01-01T16:50:00Z",1010,"29"
"Rise","2024-01-02T03:30:00Z",210,"29"
"Set","2024-01-02T16:50:00Z",1010,"29"
"Rise","2024-01-03T03:40:00Z",220,"29"
"Set","2024-01-03T16:50:00Z",1010,"29"
"Rise","2024-01-04T03:45:00Z",225,"29"
"Set","2024-01-04T17:00:00Z",1020,"29"
"Rise","2024-01-05T03:35:00Z",215,"29"
"Set","2024-01-05T17:00:00Z",1020,"29"
"Rise","2024-01-06T03:40:00Z",220,"29"
"Set","2024-01-06T17:00:00Z",1020,"29"
"Rise","2024-01-07T03:40:00Z",220,"29"
"Set","2024-01-07T17:00:00Z",1020,"29"
"Rise","2024-01-08T03:45:00Z",225,"29"
"Set","2024-01-08T17:00:00Z",1020,"29"
"Rise","2024-01-09T03:45:00Z",225,"29"
"Set","2024-01-09T17:00:00Z",1020,"29"
"Rise","2024-01-10T03:40:00Z",220,"29"
"Set","2024-01-10T17:00:00Z",1020,"29"
